Mon 27 Nov 2017 17:12:58 rest_api get_users_lookup 17280 Thread-4 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:12:59 rest_api get_users_lookup 10844 Thread-7 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:13:01 rest_api get_users_lookup 10044 Thread-6 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:13:01 rest_api get_users_lookup 13980 Thread-3 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:13:03 rest_api get_users_lookup 15440 Thread-1 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:13:04 rest_api get_users_lookup 9092 Thread-8 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:13:07 rest_api get_users_lookup 10876 Thread-5 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:13:23 rest_api get_users_lookup 20200 Thread-2 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:13:32 rest_api get_users_lookup 17280 Thread-4 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:13:33 rest_api get_users_lookup 10844 Thread-7 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:13:39 rest_api get_users_lookup 13980 Thread-3 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:13:41 rest_api get_users_lookup 10044 Thread-6 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:13:49 TwitterError __init__ 15440 Thread-1 [line:22] WARNING 400 statuses/filter text HTTPSConnectionPool(host='api.twitter.com', port=443): Read timed out.
Mon 27 Nov 2017 17:13:49 rest_api get_users_lookup 15440 Thread-1 [line:120] ERROR HTTPSConnectionPool(host='api.twitter.com', port=443): Read timed out.
Mon 27 Nov 2017 17:13:49 rest_api get_users_lookup 9092 Thread-8 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:13:53 rest_api get_users_lookup 10876 Thread-5 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:14:08 rest_api get_users_lookup 20200 Thread-2 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:14:11 rest_api get_users_lookup 17280 Thread-4 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:14:12 rest_api get_users_lookup 10844 Thread-7 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:14:17 rest_api get_users_lookup 13980 Thread-3 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:14:21 rest_api get_users_lookup 10044 Thread-6 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:14:33 rest_api get_users_lookup 9092 Thread-8 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:14:38 rest_api get_users_lookup 20200 Thread-2 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:14:39 rest_api get_users_lookup 15440 Thread-1 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:14:47 rest_api get_users_lookup 10844 Thread-7 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:14:47 rest_api get_users_lookup 13980 Thread-3 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:14:47 rest_api get_users_lookup 10044 Thread-6 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:14:55 rest_api get_users_lookup 17280 Thread-4 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:15:13 rest_api get_users_lookup 9092 Thread-8 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:15:14 rest_api get_users_lookup 10876 Thread-5 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:15:19 rest_api get_users_lookup 10844 Thread-7 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:15:24 rest_api get_users_lookup 15440 Thread-1 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:15:29 rest_api get_users_lookup 20200 Thread-2 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:15:30 rest_api get_users_lookup 10044 Thread-6 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:15:37 rest_api get_users_lookup 13980 Thread-3 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:15:37 rest_api get_users_lookup 17280 Thread-4 [line:140] INFO users: 100, success: 100
